,Medal
43696,0
112703,0
29355,0
205766,0
114765,0
33069,0
201111,0
123238,0
206291,2
126462,0
172126,0
206764,0
95738,0
132650,0
199141,0
96799,0
180300,0
75282,1
77641,0
44331,0
18826,0
34595,0
15968,0
91859,0
10127,0
157346,0
120761,0
59310,0
66465,0
79468,2
167378,0
217873,0
187224,0
212394,0
211456,0
148053,3
57241,0
117736,0
105353,0
46030,0
163937,2
66779,0
2259,0
189758,0
29021,3
200968,0
153977,0
125124,0
208126,0
51277,2
118227,0
172624,0
112974,0
83504,0
86700,2
112239,0
107628,0
174124,0
89664,0
137016,0
122522,0
19044,0
14870,0
68462,0
35716,0
148526,0
7339,0
210185,3
169569,0
135888,0
154690,0
186948,0
70650,0
86151,0
76010,1
128840,0
188109,0
734,3
192490,0
218869,2
110244,0
114184,0
189149,0
214592,0
2498,1
94168,0
193550,0
75520,0
123117,0
210069,0
110799,0
111906,3
74682,0
35766,0
100441,0
186522,0
91411,0
134366,0
216279,0
185307,0
212666,0
13270,0
212104,0
210900,1
110354,0
163670,0
111364,0
14284,0
127006,0
183265,0
163446,0
104913,0
71112,0
200374,0
196288,0
149083,1
42803,3
187747,0
152413,0
36454,1
192541,0
157388,0
171011,0
18496,0
163163,0
20965,3
123506,0
214942,0
50487,0
181315,0
186833,0
2760,0
209431,0
84233,0
145404,0
2352,0
185850,0
173945,0
96118,0
168077,3
159335,0
216713,0
170238,0
179777,0
71990,0
65137,0
161698,0
162557,0
214494,0
1912,0
171509,0
124031,0
88275,2
100601,0
81898,1
100460,0
113675,0
177371,0
192094,0
3215,0
166707,0
186220,0
91876,0
178816,0
129343,0
193806,0
100809,1
143044,0
28230,0
166454,0
118862,0
157270,0
34602,0
42782,0
79537,2
29532,0
103100,0
71871,1
186481,0
187519,2
89926,0
169115,0
97363,0
23148,0
52970,0
181246,0
45147,0
59206,0
167319,0
123125,0
67724,0
25067,2
71470,0
46749,0
71126,1
149844,0
56106,0
123169,0
195033,0
66045,0
68103,0
206224,0
25425,0
145470,1
22380,0
12286,0
33003,0
50341,0
8207,2
1937,0
64350,0
137111,0
30531,1
193020,0
99611,0
73247,3
116527,0
12397,3
60857,1
132386,0
214830,0
88411,0
79431,0
8971,0
39986,0
192160,0
8476,0
187085,0
175523,0
171704,0
13384,0
71894,1
41328,2
158153,0
5506,0
34350,0
70684,0
122352,0
78766,0
211298,0
215687,0
54273,0
104327,0
141348,0
174498,0
76614,3
113431,3
69403,0
68998,0
178196,0
183088,0
214970,0
195510,0
123211,0
168670,0
12806,0
112421,0
167953,0
53537,0
165864,0
2242,0
158907,0
158958,0
9214,0
114762,0
23474,2
150737,0
121876,0
132331,0
167858,0
132548,0
217959,0
167499,0
32449,0
107359,0
102295,3
139211,0
42546,3
153040,0
40232,0
80153,0
145625,0
137926,0
61600,0
165002,1
113821,0
123175,0
104503,0
184032,0
54154,0
170990,0
53865,2
52555,0
86505,1
85597,0
180773,0
28074,1
119766,0
64004,0
178465,0
62422,3
76359,0
175879,0
97350,0
192548,0
78226,0
182136,2
20767,0
3023,3
74861,0
119904,0
214676,0
159684,0
36775,0
137252,0
121349,0
206555,0
121183,2
154484,3
75922,0
139242,0
102140,0
51191,0
203790,0
182669,0
115455,0
71341,2
79259,0
72699,1
61430,0
24440,0
159341,0
125759,0
15205,1
84864,0
147807,0
53875,3
123768,0
183469,2
154851,0
119267,0
202537,0
171621,0
195838,2
178577,0
86653,1
116711,3
187726,0
120722,0
29727,0
175494,0
23079,0
20226,0
130633,0
214047,0
93468,0
97302,0
174164,0
60495,0
58524,1
151866,3
93990,0
97432,0
105411,3
19234,2
139735,3
174648,2
128637,0
76164,3
136976,0
106889,2
178195,0
108558,3
197390,0
21117,1
14897,0
198609,0
205110,2
135953,0
80574,0
172420,3
184090,1
47849,0
216160,0
153622,0
3205,0
31084,0
198760,0
87626,2
110494,0
79231,0
14514,0
149905,3
41389,0
110912,0
154696,0
4899,0
200612,0
153262,0
95973,3
71401,1
155075,3
77196,0
89169,1
10701,0
94450,0
160680,0
110246,0
210876,0
74316,0
157983,0
90928,0
184678,0
43009,0
35326,0
130248,0
54327,0
16071,0
33980,0
84055,0
83866,0
172124,1
18365,0
217487,0
58756,0
76961,3
127698,0
206031,0
118256,0
64790,0
3089,0
105832,3
201540,0
199372,0
164669,0
38425,0
146697,0
68284,0
26493,0
217070,0
75603,0
113002,0
211705,0
205299,1
216201,0
212107,0
8885,0
84140,1
134744,2
15113,0
78282,0
62242,0
96355,3
214005,0
218609,0
160463,0
32603,0
32409,0
820,2
45660,0
10339,0
75460,0
132979,0
195408,0
59486,0
34008,0
29092,0
56313,0
184713,0
188229,1
16144,1
213842,0
17290,0
214351,0
71099,0
183008,0
208571,0
59563,0
49639,0
110594,0
110521,0
199310,0
104336,2
31000,0
195147,0
49360,0
182376,0
56496,0
116692,0
84948,3
116186,0
113658,0
132441,0
70076,0
100001,2
165498,0
87615,0
21065,3
36732,0
67892,0
449,2
60119,0
87887,2
5759,0
79367,0
193316,0
44563,0
90692,0
117527,1
84652,0
88549,2
146224,3
22222,0
101130,0
199346,0
197723,0
176638,0
161185,3
184212,0
57059,0
135416,0
142199,0
169451,0
144036,0
114408,0
24195,0
134852,0
147405,0
50867,0
129157,0
120599,0
92759,0
185283,0
36516,0
20016,0
184379,0
28776,2
24864,0
14587,0
83619,0
172451,0
94411,0
165072,0
107428,0
151409,0
52127,0
48816,0
93367,0
69244,0
147978,1
176434,0
175362,0
172835,0
80318,0
188148,0
147312,2
54532,0
135295,3
87741,0
180462,0
28770,0
68957,0
140060,1
10623,0
64395,0
192096,0
212047,0
39682,0
35472,0
104958,0
130795,0
103494,0
160319,0
63736,0
218921,0
29338,0
156876,0
127108,0
57001,2
102743,0
136603,1
216844,0
140704,0
64995,0
108531,0
101799,0
72383,1
669,0
208255,0
147067,0
184902,0
97009,0
5499,0
93473,0
212375,0
169890,0
78561,0
164901,0
202030,0
201579,0
114643,0
73580,0
105943,3
216375,0
114533,1
201676,0
29927,0
40000,0
164416,0
215145,0
145063,2
168033,0
157439,0
179721,0
167200,0
88542,2
133922,0
95503,0
23963,0
67289,0
96187,0
126384,0
77836,2
64321,0
206130,2
70062,0
37104,0
44386,0
3285,0
58345,0
193169,0
143684,0
53988,0
90881,2
209925,0
140194,0
94982,0
105349,0
79446,0
146293,0
156552,0
153540,0
19339,0
13368,0
31916,0
45739,0
100039,2
9989,0
136358,0
53260,0
182657,0
210150,0
49096,0
176583,0
149207,3
3702,0
67557,0
180445,0
32718,0
48991,0
207,1
123679,0
13257,0
49259,0
39465,0
128536,0
165819,0
213840,0
198459,0
161456,0
15855,0
146859,2
76960,0
49268,0
130909,0
45805,0
203663,0
172857,0
145513,0
41935,0
131340,0
146099,0
143025,0
172841,0
99670,0
34159,0
112673,0
71519,1
189784,0
97629,1
32784,0
68619,0
23533,0
121869,1
119893,0
197152,0
120412,0
145053,0
81244,0
198832,3
4678,0
19549,0
15838,0
170664,0
172854,2
14260,0
171168,0
93092,0
218750,0
138899,0
158364,0
61247,0
94846,0
83531,1
195798,0
193894,0
59975,2
196312,0
133084,0
91019,0
151867,2
96008,0
42968,0
176552,1
107250,0
212337,1
59802,0
60584,2
14915,0
140255,0
162491,2
186005,0
106423,0
105550,0
61406,0
56859,0
70223,0
142384,0
87494,1
195051,0
171804,0
107638,0
51825,3
78602,0
118689,0
174562,0
138956,0
174893,0
94517,0
36469,0
86482,1
80356,0
104855,0
107923,0
52239,0
28517,0
155177,0
192502,2
148778,0
44158,0
30237,0
198093,0
191830,0
169615,0
131670,0
125637,0
30230,0
66496,0
62053,0
177645,0
86459,3
201425,0
86154,0
130917,0
121041,0
76795,0
130060,0
121805,0
209504,0
73059,1
92821,2
2923,0
174169,0
87805,2
16820,0
188623,0
79732,0
171799,0
20921,0
54426,0
191943,0
191818,0
38873,0
175467,0
72715,0
171613,3
109322,0
199307,0
106255,0
13526,0
157423,0
78736,0
105450,3
158703,2
39683,0
70501,0
90268,0
183356,2
54506,0
77100,0
192136,1
133672,0
149702,1
40524,0
91041,0
40137,0
171912,0
131966,0
25440,0
114167,0
74749,0
107857,0
13918,2
64453,0
144458,0
170605,0
183112,0
110855,2
136122,0
82731,0
57486,3
45371,0
106306,0
127871,0
198522,0
158720,1
175852,0
212867,0
70284,2
203022,0
174414,0
59309,0
147308,0
48288,0
52101,0
40997,0
156383,0
4068,0
94518,0
107344,0
151044,0
54407,0
150721,0
102204,0
176856,0
88630,0
205255,0
166226,0
49722,0
73744,0
57364,0
75822,0
207891,0
10033,0
15954,0
62710,0
42011,3
163463,0
67581,0
165697,0
80720,0
40603,0
134117,0
211561,0
15409,0
44153,3
5424,0
92864,0
205205,0
211867,0
198383,0
177199,0
165107,0
114066,0
110402,0
12272,0
158187,0
84232,3
107131,0
183400,0
14564,0
160970,0
153554,1
55823,0
73499,3
97807,3
104796,0
199892,0
68971,0
189677,0
83167,0
54114,2
217047,0
159497,0
88145,2
148666,0
109578,0
131428,0
31512,0
86571,1
22086,0
111583,0
78789,1
196109,0
79430,0
172724,0
170435,0
142237,0
124726,1
100563,0
124670,0
190957,0
146036,2
208519,0
157674,0
24995,0
80385,1
31491,2
87988,0
153549,0
111440,0
192677,0
23354,0
121770,0
186998,0
84903,0
31536,3
24138,0
215126,0
115783,0
158139,2
62148,0
135266,0
92571,0
26732,0
62567,0
40592,0
215732,0
156370,0
205467,3
98618,0
120332,0
190681,0
108082,0
1304,2
182188,0
117647,2
131223,0
29005,0
125785,0
179918,0
65161,0
129813,0
157840,0
158018,0
214056,0
17560,0
152398,0
216043,0
214230,0
54069,1
173705,0
157879,1
41887,0
91055,0
76313,2
184221,0
203779,0
32034,0
56929,0
21799,0
196643,0
11911,0
148082,0
3469,0
9780,0
107630,0
94717,0
173092,3
154803,0
199695,0
583,2
195961,0
63996,0
121599,2
143063,0
155555,2
79070,3
98193,0
130873,1
191982,0
110396,0
11027,0
106043,0
54016,0
144929,0
61736,0
73235,0
208331,0
21958,0
137607,0
59072,1
76354,0
167150,0
143718,1
160633,0
122239,0
79342,0
62647,0
139089,0
162810,1
19505,0
9803,0
39864,0
415,2
121074,0
29013,0
170614,0
218868,0
82215,1
177474,0
137934,0
56287,0
28169,0
135533,1
29290,0
213126,0
83367,0
110323,0
208140,0
161508,0
11195,0
118066,0
20671,0
105539,0
83389,0
217772,0
124904,0
144629,0
71254,1
71067,0
154050,0
116937,0
25866,3
206544,0
6617,0
90549,0
71032,0
178218,0
54789,2
83064,0
117293,0
192417,0
74787,0
29910,0
172806,0
187843,0
194687,0
74393,0
76304,0
74632,1
62705,0
36221,0
78394,0
215832,0
80544,3
29265,0
198023,0
34579,0
28082,0
125327,0
20680,0
59251,0
57431,0
3488,0
134605,0
28979,0
110796,0
7134,0
93453,0
69828,0
102431,0
218160,0
159680,0
181643,0
111394,2
47315,0
146506,0
213876,0
182823,0
40274,0
4,0
216434,0
52474,0
135411,0
65370,0
109961,0
187866,0
26128,0
98975,0
172635,0
65323,0
87334,0
136304,0
7352,0
101157,0
158824,1
141840,0
31454,0
169725,0
146364,0
100233,0
51070,3
164371,0
40735,0
212529,0
171919,0
136729,0
46963,1
155701,0
3703,0
63756,0
124229,0
3402,0
210736,0
5540,0
165537,0
165909,0
218615,0
85243,3
5188,0
155980,0
45499,0
92227,2
153985,0
89355,0
112643,3
96200,0
184209,3
176666,0
204384,0
22840,0
105666,0
143533,0
116985,3
73012,0
133554,0
215848,0
41471,0
